0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
64,79,25,51,4,67,31,94,0,32,97,34,70,52,57,63,13,89,77,61,62,44,15,69,35,25,67,31,26,51,6,18,15,88,84,44,95,83,9,52,48,13,32,49,81,91,47,73,96,75,50,42,65,94,88,43,70,83,36,6,85,31,75,9,20,5,90,83,65,54,43,68,89,13,86,27,71,6,0,44,8,59,65,87,76,60,9,78,93,51,30,73,33,62,78,1,92,0,22,79
17,35,36,58,30,44,78,33,31,88,71,88,42,38,78,91,46,78,8,0,55,76,37,94,31,84,45,23,94,61,34,31,47,69,95,42,95,11,10,25,46,7,96,27,99,90,53,59,91,16,56,48,8,54,75,34,82,73,3,14,56,72,80,79,26,3,38,74,9,45,45,26,64,92,40,69,45,52,61,61,3,31,35,1,19,65,81,53,6,92,40,38,50,66,25,99,75,68,97,43
53,53,63,44,9,49,20,5,32,85,25,12,72,64,12,89,1,34,67,22,50,37,90,62,1,94,39,31,83,78,83,62,77,26,38,61,18,59,13,7,35,68,52,24,15,34,65,90,88,98,18,18,27,65,57,57,1,73,70,4,29,46,15,71,0,55,33,76,24,53,86,32,79,33,81,87,8,26,1,19,26,77,75,36,21,67,0,56,54,41,7,34,8,90,54,69,16,35,89,56
44,10,95,82,66,65,39,9,71,0,51,31,71,14,98,3,8,52,82,18,87,24,71,20,1,92,21,7,88,95,74,7,26,87,82,77,54,78,10,28,67,1,1,60,85,90,81,63,66,98,47,16,39,80,40,37,15,24,69,40,29,47,62,98,68,75,56,60,25,86,30,63,1,52,75,47,8,22,35,61,85,64,15,42,35,69,0,56,15,38,52,67,35,24,84,89,46,77,26,50
72,52,39,81,46,9,31,91,8,58,73,45,47,93,47,13,69,83,38,51,9,55,82,94,68,16,33,76,18,61,98,54,63,59,59,56,84,60,92,78,57,22,11,97,74,48,64,53,78,39,15,85,34,97,98,73,11,37,59,1,51,14,17,85,76,53,70,38,65,5,76,89,0,58,36,90,73,16,33,68,16,15,87,20,91,45,64,56,23,37,76,66,97,47,51,69,72,17,90,60
57,96,37,66,53,45,10,13,36,42,87,81,83,23,84,19,87,33,29,85,41,46,9,65,26,93,54,53,23,7,67,89,53,23,97,21,58,80,73,2,85,55,5,19,51,2,22,33,33,90,37,33,32,68,3,25,92,24,56,19,47,57,72,44,12,22,12,59,78,60,14,43,54,48,24,25,78,67,86,70,82,15,76,52,37,11,61,85,47,55,36,89,81,37,93,79,91,6,4,25
44,99,53,89,7,84,69,8,6,35,12,92,51,92,22,69,43,66,93,93,40,14,80,4,12,98,14,86,9,80,29,97,18,12,94,47,37,3,63,92,61,8,8,79,1,5,67,52,82,3,47,50,93,43,59,70,47,95,32,39,75,21,94,82,47,47,20,22,50,23,65,99,5,35,89,47,7,93,60,72,11,6,99,14,38,61,69,25,74,2,37,14,22,20,24,65,4,44,32,97
83,19,19,69,16,87,55,28,6,86,18,7,74,20,27,86,86,76,90,92,16,38,98,77,53,98,76,49,12,67,82,53,17,6,7,43,88,9,70,97,1,19,31,82,74,81,10,91,64,74,79,12,0,77,97,91,61,21,7,89,50,3,20,32,14,84,29,43,67,4,31,82,59,32,54,5,63,41,44,22,69,96,18,11,51,7,11,79,3,47,57,11,75,76,51,64,26,12,9,28
47,85,17,20,44,93,41,32,66,49,84,7,55,9,90,92,79,73,95,24,75,17,9,42,48,26,31,19,59,81,4,13,34,97,75,13,18,99,9,58,35,47,79,47,29,8,86,27,59,89,85,1,88,12,29,75,41,86,13,61,48,75,67,72,11,48,69,70,55,90,41,85,82,75,59,68,38,60,46,3,15,38,81,67,16,15,36,51,57,93,68,97,72,12,73,93,23,76,16,6
39,41,49,85,42,90,96,57,28,96,9,34,76,97,25,78,9,2,4,79,70,78,24,41,53,87,61,81,33,8,93,93,58,14,92,18,90,16,24,79,20,24,71,44,2,20,78,88,85,69,28,52,50,98,46,59,51,94,61,51,24,19,36,87,67,85,16,56,84,53,89,83,3,20,53,4,81,75,35,90,54,10,37,98,36,30,62,60,5,84,41,76,29,71,37,74,61,80,11,40
72,52,99,44,22,2,87,69,47,22,3,78,3,58,69,25,71,9,2,17,35,34,12,76,90,58,29,75,23,5,94,9,26,75,56,96,48,80,59,24,66,97,62,87,59,79,18,36,33,75,57,50,6,2,10,90,1,44,2,16,15,32,86,14,15,39,15,42,98,89,62,56,8,74,71,62,76,51,32,74,54,9,25,16,84,86,61,4,47,36,7,5,66,63,8,72,10,80,99,93
30,26,60,0,52,40,70,75,33,43,84,15,47,22,35,0,33,23,85,49,31,82,96,32,85,22,43,84,25,71,70,63,61,10,75,82,2,42,85,66,36,9,30,14,63,16,1,38,88,63,71,58,11,24,70,34,49,20,72,59,59,63,35,58,18,38,97,73,21,67,28,45,45,22,58,43,95,66,81,29,61,7,45,81,91,19,43,62,73,97,50,64,10,11,47,92,16,82,36,11
14,12,35,53,2,35,55,74,31,44,52,16,37,41,47,55,91,46,86,39,84,36,17,93,88,44,40,20,29,25,13,27,46,91,15,83,80,16,55,31,42,57,73,11,8,20,62,4,82,97,83,52,62,4,54,43,16,39,98,22,98,16,11,24,20,33,32,50,4,54,15,33,34,57,73,99,50,87,51,75,34,14,25,40,8,79,57,85,66,30,70,55,30,73,39,18,29,23,97,32
8,70,0,70,3,24,43,36,52,5,87,93,3,77,33,9,52,85,93,83,87,92,93,83,53,61,45,64,22,18,81,50,11,55,46,21,67,39,43,71,22,0,52,11,10,70,2,61,84,33,5,42,98,62,76,89,92,92,45,5,97,16,47,25,33,31,13,91,77,78,99,91,43,14,1,89,94,68,55,10,85,66,5,66,99,20,51,70,64,58,80,17,65,23,36,94,73,50,8,62
84,33,51,85,2,6,4,48,58,0,2,77,23,6,67,84,39,53,10,66,43,35,74,30,12,51,86,29,78,19,1,55,13,6,91,42,11,1,93,38,39,33,85,72,62,19,9,54,88,3,88,16,96,14,71,21,92,34,42,35,87,95,97,35,65,90,37,87,15,22,16,50,99,34,22,57,8,46,72,92,28,88,83,80,82,68,17,94,69,71,20,95,70,0,90,18,53,58,14,54
32,19,70,1,52,43,73,69,29,52,40,4,72,4,24,78,60,52,69,94,57,17,68,37,71,8,58,84,42,43,34,50,24,95,96,70,37,33,80,47,87,82,33,76,48,5,85,68,18,92,76,66,79,62,9,45,67,88,37,4,8,64,50,14,20,86,42,67,78,10,76,21,67,92,27,28,45,8,34,41,62,79,62,95,83,80,20,66,58,70,41,85,28,56,23,23,88,94,54,6
4,32,6,41,74,42,90,71,94,42,8,99,7,56,67,71,0,46,13,18,83,40,62,47,75,55,50,28,22,32,96,89,33,72,56,79,22,42,75,25,59,50,22,39,4,5,26,70,72,83,62,45,93,84,96,63,63,23,10,71,12,89,58,75,88,36,53,17,82,95,76,53,26,31,30,3,74,57,32,56,22,18,95,27,6,56,13,82,69,81,66,11,51,57,24,26,27,82,26,96
64,65,32,75,19,62,30,51,37,85,27,38,9,72,67,62,88,42,53,54,79,9,7,14,73,26,75,86,11,27,98,95,72,4,35,65,43,67,66,56,40,55,30,74,54,76,13,26,26,73,72,58,5,40,25,60,93,70,75,36,66,43,68,75,22,96,75,6,77,8,30,71,74,60,82,1,94,0,34,82,54,98,93,95,94,19,98,14,1,20,50,72,17,0,71,99,96,78,1,38
30,37,98,95,28,83,41,29,15,97,70,75,90,40,23,1,45,59,54,15,26,1,37,40,84,79,54,2,47,88,25,63,1,93,78,7,69,83,98,78,48,97,22,10,66,24,27,81,60,17,47,0,90,28,60,88,74,22,46,19,20,33,78,26,42,95,67,68,8,45,79,27,94,59,9,85,43,89,32,99,57,98,14,15,43,53,72,96,97,25,41,47,55,24,31,80,15,47,88,72
9,70,73,11,77,64,72,66,89,87,93,94,60,5,57,90,48,38,0,29,30,60,49,64,46,7,41,37,98,32,83,98,18,60,75,5,11,93,94,73,94,25,75,43,41,96,80,44,66,50,66,32,37,1,26,17,65,4,73,45,59,22,53,41,1,68,72,98,28,78,53,28,38,56,72,12,91,7,51,53,22,75,19,68,25,79,23,38,19,62,36,18,54,28,98,69,18,11,66,37
0,95,91,0,9,12,27,96,92,81,84,53,76,40,3,73,50,1,32,11,22,59,66,62,80,5,25,91,10,35,89,15,58,44,89,14,59,20,74,44,41,50,80,12,89,32,15,27,9,87,78,72,61,4,29,71,68,72,45,25,15,66,31,66,37,88,95,7,39,89,34,18,13,41,26,81,8,88,46,59,40,94,98,4,96,88,6,31,85,50,43,42,78,55,13,57,77,8,87,53
6,80,2,30,48,70,26,80,20,58,55,68,5,16,24,4,6,12,8,90,75,32,12,25,91,36,14,52,93,21,41,69,29,0,52,66,84,37,78,27,77,75,24,44,97,14,31,32,54,67,74,20,36,86,61,97,35,95,36,92,54,64,69,82,33,95,29,68,1,65,87,86,50,80,11,75,61,95,36,34,34,0,39,88,94,17,89,14,85,64,6,70,24,84,97,48,18,87,43,73
83,2,66,70,94,70,65,19,36,4,20,30,70,55,9,65,74,74,88,67,73,78,23,79,15,94,93,43,45,24,7,25,80,68,51,2,12,6,61,67,66,74,56,6,91,26,36,56,93,87,45,78,66,91,83,42,4,49,70,37,86,72,29,21,27,86,73,78,24,0,65,74,24,83,69,98,75,6,31,72,65,97,16,63,11,84,90,43,37,29,89,21,50,98,22,89,41,37,87,59
97,95,58,89,12,36,40,41,34,93,21,17,45,42,38,78,68,5,21,4,5,8,40,96,85,56,8,3,52,40,33,99,20,26,14,81,97,89,79,45,44,28,68,94,68,10,43,59,80,94,45,57,85,32,80,32,82,39,13,84,63,17,9,54,4,63,24,61,8,39,5,39,40,82,20,40,43,5,46,26,18,91,62,19,11,31,96,5,18,61,42,18,51,87,86,78,34,26,87,35
71,84,44,14,31,35,87,44,31,45,47,86,0,47,54,71,52,9,91,27,27,83,23,61,19,6,79,37,40,0,34,89,33,83,3,92,79,40,30,98,67,73,57,74,26,17,15,37,86,83,48,67,48,86,29,88,57,62,34,62,73,4,21,74,71,12,97,54,56,43,25,38,7,82,37,50,7,83,80,36,89,96,64,35,39,19,32,8,41,86,66,59,52,72,55,80,24,59,14,33
7,37,0,28,96,84,70,90,86,27,4,35,88,55,30,35,42,63,25,91,87,16,21,89,6,39,67,37,83,97,1,77,13,71,25,26,34,23,0,30,69,20,90,91,8,29,71,76,64,8,34,29,63,67,59,78,68,16,93,3,69,34,40,15,46,85,19,92,43,53,14,99,32,16,21,13,6,12,20,80,85,19,62,24,38,31,77,30,89,85,14,7,28,57,43,22,44,56,11,85
17,80,7,50,17,26,41,85,57,57,74,1,64,70,46,30,72,43,36,16,7,87,9,28,36,83,46,36,15,94,19,7,44,30,60,81,49,89,47,89,87,47,8,18,88,78,0,29,73,26,0,33,12,82,55,69,40,52,40,65,94,94,31,49,61,26,63,79,5,62,25,59,12,4,27,4,68,46,78,23,76,21,95,49,25,15,35,67,40,54,84,66,26,14,62,35,68,22,21,62
57,93,25,46,88,53,46,89,28,24,25,95,32,62,93,63,39,79,23,24,75,77,50,37,71,12,34,2,77,70,74,31,56,32,24,84,34,77,77,56,84,65,61,7,56,46,16,77,53,82,74,72,0,97,8,46,19,32,78,10,82,11,44,63,46,10,83,5,7,14,97,28,17,99,8,76,76,62,67,3,52,12,9,80,61,9,82,84,49,73,0,66,13,92,79,4,87,49,88,78
30,46,81,79,34,32,51,47,33,51,17,25,1,13,9,83,73,62,2,26,13,86,86,49,61,73,56,89,27,36,41,94,46,53,5,17,30,97,39,11,37,46,75,8,57,42,19,93,15,49,42,49,80,26,53,48,97,77,29,25,87,42,83,90,59,73,50,19,21,0,58,85,47,92,86,34,85,96,66,47,65,67,1,62,24,33,11,75,23,17,0,30,59,81,49,57,99,36,76,78
67,97,17,96,57,28,17,14,11,61,9,76,75,31,80,57,60,61,84,57,4,56,32,82,18,52,21,50,37,75,17,42,61,39,14,80,91,60,77,11,28,28,21,31,47,47,75,11,78,1,94,54,68,68,91,13,68,82,12,29,46,30,67,24,58,23,66,15,31,66,77,86,83,59,32,1,53,41,70,87,66,96,27,86,32,77,23,59,59,11,80,5,53,48,1,62,14,5,35,98
80,2,73,97,80,85,10,39,38,29,36,6,62,8,18,63,93,28,4,45,82,28,35,5,46,0,21,17,33,64,18,12,75,94,70,6,95,2,25,36,52,57,9,31,47,67,17,61,13,14,68,62,70,14,85,73,91,12,0,89,88,1,54,42,36,37,13,60,94,81,49,57,90,61,47,11,60,11,14,74,73,53,85,8,35,17,80,49,86,75,22,74,71,57,19,40,95,7,77,96
50,62,44,4,2,49,52,68,13,11,58,31,83,62,93,49,96,97,69,90,22,59,94,50,12,48,63,85,68,15,31,3,97,57,20,29,39,64,52,15,32,24,31,85,92,98,17,30,50,29,50,2,0,56,35,68,36,7,39,77,40,71,14,80,14,10,34,89,34,58,5,56,5,35,83,82,85,51,39,33,13,53,69,73,18,66,7,38,54,85,86,50,9,96,24,31,3,16,78,39
79,34,9,17,12,37,22,49,4,86,74,50,55,51,89,83,55,7,60,50,78,93,42,66,87,55,34,36,91,5,30,12,77,45,62,71,63,52,88,99,48,21,57,12,78,48,84,11,31,45,88,76,98,26,38,14,54,23,21,54,25,36,67,72,17,14,31,40,87,59,18,44,79,16,8,87,34,53,84,49,29,13,24,53,41,5,73,38,28,80,5,33,87,53,39,55,51,70,56,43
63,98,61,96,37,79,79,75,69,9,33,29,26,70,46,21,64,85,33,47,51,18,9,84,47,43,9,23,61,67,62,30,24,94,48,61,4,79,91,10,19,85,23,62,58,16,38,56,26,99,79,64,13,47,18,98,74,32,56,59,52,3,79,62,57,23,4,40,29,61,27,41,58,44,24,45,36,3,99,50,53,63,36,14,30,69,89,25,66,97,17,39,44,74,36,61,49,43,13,56
75,43,47,35,44,18,75,97,9,71,28,65,65,59,74,51,9,70,90,26,2,76,99,62,58,79,22,57,30,39,30,57,46,39,54,95,74,1,36,40,89,13,97,89,8,99,50,42,23,58,5,55,64,87,57,15,78,57,70,19,41,97,82,97,50,59,90,37,99,58,68,70,93,89,6,35,80,94,67,97,62,46,31,37,71,64,56,76,85,37,23,33,53,87,98,2,30,91,40,62
38,33,61,74,1,3,0,6,39,60,67,72,26,40,32,15,27,11,55,28,4,97,81,43,59,71,97,37,8,87,62,49,43,32,55,71,85,56,53,64,78,88,13,93,11,66,52,38,19,82,13,51,18,15,28,61,75,22,13,6,54,59,92,5,81,85,5,81,8,39,44,56,10,37,2,15,3,86,13,39,6,48,45,88,35,42,0,30,80,24,85,26,55,43,44,91,1,33,96,68
98,88,32,11,10,40,44,72,63,15,4,28,82,93,20,32,55,48,97,67,12,82,68,43,96,61,99,32,7,70,57,46,40,86,64,26,32,1,32,29,28,10,12,41,75,54,76,48,3,96,37,60,73,43,52,32,58,36,55,64,10,12,42,82,0,29,18,4,18,77,59,84,46,97,60,94,97,23,93,76,16,40,75,4,70,53,30,37,44,40,84,7,8,3,51,97,95,47,78,57
47,54,3,32,78,76,99,77,16,57,38,93,27,46,86,64,58,38,45,50,4,19,14,30,54,61,5,57,1,27,18,47,85,41,95,40,3,89,15,70,51,98,14,80,57,53,5,79,96,8,36,16,92,73,21,42,81,61,38,71,84,70,68,5,72,82,1,28,60,91,53,59,82,90,44,88,14,32,90,82,45,47,67,50,70,82,92,5,50,67,21,54,43,59,88,83,29,24,87,87
81,73,44,49,6,66,76,50,24,56,68,89,99,40,68,21,59,39,27,8,64,90,50,52,39,23,52,75,50,71,28,63,30,0,36,86,96,53,25,40,82,30,45,72,8,36,29,83,92,37,2,46,52,80,12,99,30,44,88,62,21,78,90,87,34,65,39,81,41,40,62,64,3,46,55,92,73,41,87,22,36,28,11,23,91,64,28,83,36,68,46,46,25,29,25,73,70,55,86,62
56,75,82,27,71,73,27,83,57,70,97,5,37,97,68,99,10,77,52,97,4,20,78,52,7,89,55,97,9,12,13,28,27,13,10,21,0,63,72,56,98,12,53,48,41,2,90,36,72,80,44,34,24,91,14,9,60,43,63,93,61,94,23,90,81,93,99,89,45,81,70,96,91,12,7,91,66,59,56,18,68,95,14,19,44,27,52,0,87,32,75,3,77,89,47,35,31,24,79,90
3,72,2,69,7,59,14,18,72,52,9,44,30,47,51,59,97,87,80,90,12,19,62,30,39,12,93,32,56,43,84,47,57,71,81,66,27,79,93,15,22,28,18,37,84,82,24,86,49,81,66,56,2,94,16,74,98,46,74,0,42,51,96,11,95,16,27,95,18,3,40,69,76,11,24,90,36,13,13,33,58,48,33,49,66,14,47,12,89,6,15,37,80,59,72,91,30,24,55,66
70,29,59,26,17,62,26,33,32,69,85,71,94,23,86,62,87,86,44,88,84,64,80,48,72,95,26,42,57,47,31,78,54,84,46,97,10,48,48,66,74,55,59,63,28,28,64,25,7,62,9,49,59,60,66,18,2,82,24,51,19,46,95,1,98,64,65,83,71,64,35,27,71,88,22,55,66,60,23,27,29,98,1,58,18,5,27,88,8,24,99,43,11,61,66,38,11,98,76,75
50,57,32,36,77,89,26,87,42,33,33,80,3,87,79,69,81,98,89,35,25,53,98,85,58,85,0,18,51,45,91,67,91,45,40,38,95,5,29,69,63,43,6,45,40,67,93,63,72,99,28,48,35,93,66,4,50,8,32,91,54,90,8,93,96,51,64,9,89,89,10,34,41,72,53,76,51,10,43,74,48,31,60,30,31,1,46,27,76,68,73,30,60,53,56,64,59,61,58,13
42,2,30,85,76,49,20,63,5,38,59,5,58,48,89,98,79,39,76,41,54,19,24,0,47,59,82,91,9,47,7,61,56,32,82,40,62,9,1,3,3,94,20,89,58,73,45,61,76,54,73,7,85,42,96,69,96,81,37,0,75,87,77,38,93,62,26,35,56,6,85,64,72,44,35,26,25,84,16,42,25,61,25,64,35,79,80,29,95,58,24,46,2,18,67,22,2,96,63,79
32,33,59,61,28,47,42,18,82,82,32,38,40,9,36,38,22,94,10,16,29,21,19,52,3,15,91,85,48,73,6,12,43,38,43,31,69,4,1,92,9,10,39,90,38,34,60,1,60,51,75,70,82,36,7,16,23,56,33,3,94,5,70,48,73,86,36,55,10,73,73,7,14,15,74,12,54,97,17,22,94,83,1,91,41,46,45,37,20,56,44,86,33,81,94,58,29,72,65,80
34,32,70,25,1,92,90,83,30,67,36,16,55,97,40,16,36,57,65,11,54,40,36,52,84,75,48,11,56,39,67,89,79,14,13,39,23,20,97,71,86,90,74,63,54,54,63,78,7,60,8,13,18,9,64,79,53,86,11,39,86,1,56,75,5,17,11,2,81,25,34,78,11,66,63,18,1,17,14,9,78,43,32,48,49,59,4,11,21,63,95,9,66,21,27,92,40,51,50,1
20,3,69,28,46,43,20,33,33,93,73,23,45,85,45,68,26,99,74,85,70,55,84,99,34,82,47,28,1,26,90,74,72,10,75,27,66,19,96,74,75,6,56,13,49,59,38,28,26,6,65,19,83,60,84,50,34,52,45,91,24,84,98,64,14,47,87,84,73,88,5,41,55,96,21,55,71,55,66,57,96,42,42,51,85,10,93,88,23,13,2,71,27,50,44,70,50,76,27,70
65,45,42,93,2,10,51,27,85,81,90,90,77,56,85,77,67,11,57,25,37,28,80,60,87,59,29,66,73,54,38,54,56,70,85,55,86,64,16,37,25,6,28,65,34,16,11,47,76,18,29,99,91,5,72,54,95,89,2,2,82,21,56,22,35,34,21,19,33,99,44,44,24,73,69,78,18,81,98,90,97,84,7,87,83,36,72,17,35,85,14,27,29,19,22,47,82,48,84,74
31,39,61,10,51,98,21,36,21,39,83,85,46,33,93,97,99,97,59,47,78,22,18,56,19,79,27,26,60,16,23,31,78,91,27,53,45,81,3,68,25,78,89,16,27,65,3,49,93,57,60,64,47,31,32,18,1,99,64,75,25,56,15,87,73,44,68,73,8,63,61,12,38,25,33,80,52,44,25,19,2,82,44,19,18,17,25,48,22,41,85,49,55,9,46,59,39,70,98,91
72,33,41,81,24,14,80,37,20,50,97,82,8,59,85,92,97,52,18,1,33,32,73,95,67,95,3,79,52,12,26,81,0,40,51,38,32,17,35,20,80,48,51,36,69,56,53,69,55,68,56,84,93,43,21,5,54,27,55,10,15,18,95,52,34,97,16,67,57,47,7,49,99,45,16,61,72,4,65,36,87,64,35,99,35,56,88,37,52,93,57,56,7,37,3,78,34,21,10,6
21,84,47,94,67,64,78,64,58,25,18,95,57,1,34,68,8,47,88,67,67,77,30,96,55,89,56,17,11,6,2,47,48,58,83,69,58,21,41,76,40,77,18,52,35,45,42,20,31,11,85,48,44,55,73,8,6,47,74,87,55,13,21,31,35,12,58,46,25,75,22,77,6,64,96,68,52,29,16,43,82,93,17,27,67,98,71,97,49,38,10,19,31,16,85,96,96,95,50,76
27,81,32,47,59,30,97,53,69,50,39,63,30,30,68,93,15,55,18,74,31,42,50,34,43,42,58,73,89,68,3,57,3,64,15,31,72,87,15,64,20,24,88,88,48,6,27,32,72,83,53,65,41,11,20,14,20,29,64,56,76,53,43,65,63,71,34,73,35,40,23,94,68,24,85,31,3,69,69,33,18,14,35,60,4,4,17,64,16,60,35,77,16,36,26,71,50,50,29,94
1,13,12,41,54,85,14,45,35,97,67,8,52,32,76,1,5,8,97,47,45,41,91,90,14,80,26,77,86,93,28,21,97,44,53,75,30,32,79,85,70,70,84,5,4,28,41,60,20,33,83,87,21,67,80,46,12,53,90,64,93,41,54,12,39,78,69,1,36,82,90,13,37,64,65,48,42,78,3,7,95,49,43,96,61,75,70,88,22,14,90,42,5,12,78,65,5,77,59,86
9,83,46,5,86,32,41,67,87,67,49,76,56,0,66,27,4,15,98,81,10,88,40,67,34,74,56,85,22,7,11,41,46,4,69,65,97,58,51,27,45,97,21,24,92,58,12,31,20,54,61,40,17,40,55,85,78,28,83,41,87,96,85,70,34,23,57,19,58,39,44,64,9,29,36,47,85,99,91,21,35,79,33,90,73,16,6,36,70,84,17,70,4,84,53,91,76,52,75,67
34,62,47,5,83,41,60,48,32,46,75,84,50,98,40,18,30,26,90,25,87,69,56,80,85,95,20,65,96,42,53,34,28,39,34,24,42,36,96,60,86,50,14,35,50,95,40,73,32,39,62,9,25,29,82,39,65,19,88,21,80,38,90,24,87,23,75,99,82,62,25,87,17,48,42,90,60,54,50,31,69,45,24,46,98,0,26,54,38,11,53,51,94,32,6,3,57,33,71,72
78,39,76,23,49,38,27,81,45,46,10,58,88,24,17,61,76,86,21,56,85,23,35,36,8,33,46,97,6,38,35,45,90,86,68,86,33,54,87,74,10,98,97,88,8,40,65,45,88,4,89,97,97,54,82,55,11,87,36,75,79,71,6,46,24,92,4,45,35,16,43,43,71,27,57,5,12,78,20,16,86,85,22,0,24,22,1,15,62,85,41,87,64,61,66,90,63,60,36,53
47,41,10,45,87,63,55,62,15,85,16,14,15,64,1,4,98,96,36,46,67,41,80,43,13,22,12,57,81,45,84,46,89,36,8,84,48,16,1,81,81,10,58,65,40,79,99,62,70,14,60,52,90,15,93,39,92,64,55,49,53,62,69,99,72,77,77,13,2,11,50,83,96,37,64,70,94,34,44,43,92,3,27,60,45,70,52,38,86,71,5,28,5,95,10,32,99,98,12,67
1,78,67,51,17,9,23,42,16,28,30,9,0,7,86,40,80,25,99,7,45,14,20,30,46,84,10,11,5,24,52,50,59,68,27,81,44,58,40,66,90,30,18,18,21,63,11,50,67,17,24,87,52,10,13,93,38,89,6,90,49,38,42,46,25,37,54,86,79,78,42,29,71,46,95,6,31,79,50,19,70,66,67,18,76,9,2,79,32,20,18,19,2,44,7,98,8,55,4,60
